#leave the following line; indicates category name
biosyn

#updated on 01-09-2019
PF13183 4Fe-4S dicluster domain
PF18130 ATP-grasp N-terminal domain
PF13535 ATP-grasp domain
PF14518 Iron-containing redox enzyme
PF00708 Acylphosphatase
PF04954 Siderophore-interacting protein
PF08021 Siderophore-interacting FAD-binding domain
PF12697 Alpha/beta hydrolase family
PF13561 Enoyl-(Acyl carrier protein) reductase
PF12710 haloacid dehalogenase-like hydrolase
PF13581 Histidine kinase-like ATPase domain
PF16896 Phosphogluconate dehydrogenase (decarboxylating) C-term

#Removed:
# PF00753	Metallo-beta-lactamase superfamily
# PF00652	Ricin-type beta-trefoil lectin domain
# PF00403	Heavy-metal-associated domain
# PF07993	Male sterility protein
# PF00013	KH domain
# PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
# PF00027	Cyclic nucleotide-binding domain

# updates on 23_01_2019
TIGR02961	allantoicase
TIGR02962	hydroxyisourate hydrolase
TIGR02963	xanthine dehydrogenase, small subunit
TIGR02965	xanthine dehydrogenase, molybdopterin binding subunit
TIGR02966	phosphate regulon sensor kinase PhoR
TIGR02967	guanine deaminase
TIGR02969	aldehyde oxidase
TIGR02981	phage shock operon rhodanese PspE
TIGR02986	type II restriction endonuclease, Alw26I/Eco31I/Esp3I family
TIGR02993	ectoine utilization protein EutD
TIGR03011	sulfur relay protein TusB/DsrH
TIGR03018	exopolysaccharide/PEP-CTERM locus tyrosine autokinase
TIGR03022	undecaprenyl-phosphate galactose phosphotransferase WbaP
TIGR03023	undecaprenyl-phosphate glucose phosphotransferase
TIGR03030	cellulose synthase catalytic subunit (UDP-forming)
TIGR03031	CRISPR system subtype II-B RNA-guided endonuclease Cas9/Csx12
TIGR03035	arylformamidase
TIGR03036	tryptophan 2,3-dioxygenase
TIGR03037	3-hydroxyanthranilate 3,4-dioxygenase
TIGR03048	photosystem I iron-sulfur protein PsaC
TIGR03064	sortase, SrtB family
TIGR03074	membrane-bound PQQ-dependent dehydrogenase, glucose/quinate/shikimate family
TIGR03075	PQQ-dependent dehydrogenase, methanol/ethanol family
TIGR03078	methane monooxygenase/ammonia monooxygenase, subunit C
TIGR03079	methane monooxygenase/ammonia monooxygenase, subunit B
TIGR03080	methane monooxygenase/ammonia monooxygenase, subunit A
TIGR03081	methylmalonyl-CoA epimerase
TIGR03105	glutamine synthetase, type III
TIGR03107	glutamyl aminopeptidase
TIGR03109	exosortase A
TIGR03119	formylmethanofuran--tetrahydromethanopterin N-formyltransferase
TIGR03120	methenyltetrahydromethanopterin cyclohydrolase
TIGR03121	formylmethanofuran dehydrogenase subunit A
TIGR03122	formylmethanofuran dehydrogenase subunit C
TIGR03124	holo-ACP synthase CitX
TIGR03125	triphosphoribosyl-dephospho-CoA synthase CitG
TIGR03127	6-phospho 3-hexuloisomerase
TIGR03128	3-hexulose-6-phosphate synthase
TIGR03129	formylmethanofuran dehydrogenase subunit B
TIGR03132	triphosphoribosyl-dephospho-CoA synthase MdcB
TIGR03133	biotin-independent malonate decarboxylase, beta subunit
TIGR03134	biotin-independent malonate decarboxylase, gamma subunit
TIGR03135	malonate decarboxylase holo-[acyl-carrier-protein] synthase
TIGR03137	peroxiredoxin
TIGR03138	queuine synthase
TIGR03139	7-cyano-7-deazaguanine reductase
TIGR03140	alkyl hydroperoxide reductase subunit F
TIGR03143	putative alkyl hydroperoxide reductase F subunit
TIGR03146	cytochrome c nitrite reductase, pentaheme subunit
TIGR03148	cytochrome c nitrite reductase, NrfD subunit
TIGR03149	cytochrome c nitrite reductase, Fe-S protein
TIGR03150	beta-ketoacyl-acyl-carrier-protein synthase II
TIGR03151	putative enoyl-[acyl-carrier-protein] reductase II
TIGR03152	formate-dependent cytochrome c nitrite reductase, c552 subunit
TIGR03153	cytochrome c nitrite reductase, small subunit
TIGR03160	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
TIGR03161	alpha-ribazole phosphatase CobZ
TIGR03162	alpha-ribazole phosphatase
TIGR03164	OHCU decarboxylase
TIGR03165	F1/F0 ATPase, Methanosarcina type, subunit 2
TIGR03166	alternate F1F0 ATPase, F1 subunit epsilon
TIGR03167	tRNA 2-selenouridine synthase
TIGR03168	hexose kinase, 1-phosphofructokinase family
TIGR03175	ureidoglycolate dehydrogenase
TIGR03176	allantoate amidohydrolase
TIGR03178	allantoinase
TIGR03180	OHCU decarboxylase
TIGR03181	pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit
TIGR03182	pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit
TIGR03188	phosphoribosyl-ATP diphosphatase
TIGR03189	cyclohexa-1,5-dienecarbonyl-CoA hydratase
TIGR03190	benzoyl-CoA reductase, bzd-type, N subunit
TIGR03191	benzoyl-CoA reductase, bzd-type, O subunit
TIGR03192	benzoyl-CoA reductase, bzd-type, Q subunit
TIGR03193	4-hydroxybenzoyl-CoA reductase, gamma subunit
TIGR03194	4-hydroxybenzoyl-CoA reductase, alpha subunit
TIGR03195	4-hydroxybenzoyl-CoA reductase, beta subunit
TIGR03196	xanthine dehydrogenase D subunit
TIGR03198	xanthine dehydrogenase E subunit
TIGR03199	xanthine dehydrogenase C subunit
TIGR03200	6-oxocyclohex-1-ene-1-carbonyl-CoA hydrolase
TIGR03201	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
TIGR03203	pimeloyl-CoA dehydrogenase, small subunit
TIGR03204	pimeloyl-CoA dehydrogenase, large subunit
TIGR03205	dicarboxylate--CoA ligase PimA
TIGR03206	2-hydroxycyclohexanecarboxyl-CoA dehydrogenase
TIGR03207	cyclohexanecarboxyl-CoA dehydrogenase
TIGR03208	cyclohexanecarboxylate-CoA ligase
TIGR03210	2-ketocyclohexanecarboxyl-CoA hydrolase
TIGR03211	catechol 2,3 dioxygenase
TIGR03213	2,3-dihydroxybiphenyl 1,2-dioxygenase
TIGR03215	acetaldehyde dehydrogenase (acetylating)
TIGR03216	2-hydroxymuconic semialdehyde dehydrogenase
TIGR03217	4-hydroxy-2-oxovalerate aldolase
TIGR03218	4-oxalocrotonate decarboxylase
TIGR03219	salicylate 1-monooxygenase
TIGR03220	2-oxopent-4-enoate hydratase
TIGR03221	muconolactone delta-isomerase
TIGR03222	benzoyl-CoA-dihydrodiol lyase
TIGR03224	benzoyl-CoA oxygenase/reductase, BoxA protein
TIGR03225	benzoyl-CoA oxygenase, B subunit
TIGR03228	anthranilate 1,2-dioxygenase, large subunit
TIGR03229	benzoate 1,2-dioxygenase, large subunit
TIGR03230	lipoprotein lipase
TIGR03231	anthranilate 1,2-dioxygenase, small subunit
TIGR03232	benzoate 1,2-dioxygenase, small subunit
TIGR03234	hydroxypyruvate isomerase
TIGR03235	cysteine desulfurase DndA
TIGR03239	2-dehydro-3-deoxyglucarate aldolase
TIGR03240	succinylglutamate-semialdehyde dehydrogenase
TIGR03241	succinylarginine dihydrolase
TIGR03242	succinylglutamate desuccinylase
TIGR03243	arginine and ornithine succinyltransferase subunits
TIGR03244	arginine N-succinyltransferase
TIGR03245	arginine/ornithine succinyltransferase, alpha subunit
TIGR03246	succinylornithine transaminase family
TIGR03247	glucarate dehydratase
TIGR03248	galactarate dehydratase
TIGR03249	5-dehydro-4-deoxyglucarate dehydratase
TIGR03250	putative phosphonoacetaldehyde dehydrogenase
TIGR03251	L-lysine 6-transaminase
TIGR03253	formyl-CoA transferase
TIGR03254	oxalyl-CoA decarboxylase
TIGR03256	methyl-coenzyme M reductase, alpha subunit
TIGR03257	methyl-coenzyme M reductase, beta subunit
TIGR03259	methyl-coenzyme M reductase, gamma subunit
TIGR03263	guanylate kinase
TIGR03283	thymidylate synthase, methanogen type
TIGR03284	thymidylate synthase
TIGR03288	CoB--CoM heterodisulfide reductase, subunit B
TIGR03289	coenzyme F420 hydrogenase, subunit beta
TIGR03290	CoB--CoM heterodisulfide reductase, subunit C
TIGR03294	coenzyme F420 hydrogenase, subunit gamma
TIGR03295	coenzyme F420 hydrogenase, subunit alpha
TIGR03296	M6 family metalloprotease domain
TIGR03297	phosphonopyruvate decarboxylase
TIGR03301	2-aminoethylphosphonate aminotransferase
TIGR03305	alternate F1F0 ATPase, F1 subunit beta
TIGR03306	alternate F1F0 ATPase, F0 subunit A
TIGR03310	molybdenum cofactor cytidylyltransferase
TIGR03311	selenium-dependent xanthine dehydrogenase
TIGR03316	knotted carbamoyltransferase YgeW
TIGR03319	ribonuclease Y
TIGR03321	alternate F1F0 ATPase, F0 subunit B
TIGR03322	alternate F1F0 ATPase, F0 subunit C
TIGR03323	alternate F1F0 ATPase, F1 subunit gamma
TIGR03324	alternate F1F0 ATPase, F1 subunit alpha
TIGR03325	cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase
TIGR03326	ribulose bisphosphate carboxylase, type III
TIGR03327	AMP phosphorylase
TIGR03328	methylthioribulose-1-phosphate dehydratase
TIGR03330	S-adenosylmethionine decarboxylase proenzyme
TIGR03331	S-adenosylmethionine decarboxylase proenzyme
TIGR03332	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
TIGR03333	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
TIGR03334	indolepyruvate ferredoxin oxidoreductase, beta subunit
TIGR03335	coenzyme F390 synthetase
TIGR03336	indolepyruvate ferredoxin oxidoreductase, alpha subunit
TIGR03343	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase
TIGR03372	putrescine aminotransferase
TIGR03374	1-pyrroline dehydrogenase
TIGR03376	glycerol-3-phosphate dehydrogenase (NAD(+))
TIGR03377	glycerol-3-phosphate dehydrogenase, anaerobic, A subunit
TIGR03378	glycerol-3-phosphate dehydrogenase, anaerobic, B subunit
TIGR03379	glycerol-3-phosphate dehydrogenase, anaerobic, C subunit
TIGR03380	agmatine deiminase
TIGR03381	N-carbamoylputrescine amidase
TIGR03383	urate oxidase
TIGR03385	CoA-disulfide reductase
TIGR03388	L-ascorbate oxidase
TIGR03389	laccase
TIGR03390	L-ascorbate oxidase
TIGR03391	cysteine desulfurase, sulfur acceptor subunit CsdE
TIGR03392	cysteine desulfurase, catalytic subunit CsdA
TIGR03393	indolepyruvate decarboxylase
TIGR03394	indolepyruvate/phenylpyruvate decarboxylase
TIGR03395	sphingomyelin phosphodiesterase
TIGR03396	phospholipase C, phosphocholine-specific
TIGR03397	acid phosphatase, Burkholderia-type
TIGR03399	RNA 3'-phosphate cyclase
TIGR03401	HD domain protein, cyanamide hydratase family
TIGR03402	cysteine desulfurase NifS
TIGR03403	cysteine desulfurase, NifS family
TIGR03413	hydroxyacylglutathione hydrolase
TIGR03417	choline-sulfatase
TIGR03429	aromatic prenyltransferase, DMATS type
TIGR03430	tryptophan dimethylallyltransferase
TIGR03438	dimethylhistidine N-methyltransferase
TIGR03439	probable methyltransferase domain, EasF family
TIGR03443	L-aminoadipate-semialdehyde dehydrogenase
TIGR03444	ergothioneine biosynthesis glutamate--cysteine ligase EgtA
TIGR03445	N-acetyl-1-D-myo-inositol-2-amino-2-deoxy-alpha-D-glucopyranoside deacetylase
TIGR03447	cysteine--1-D-myo-inosityl 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
TIGR03448	mycothiol synthase
TIGR03449	D-inositol-3-phosphate glycosyltransferase
TIGR03450	inositol 1-phosphate synthase
TIGR03451	S-(hydroxymethyl)mycothiol dehydrogenase
TIGR03452	mycothione reductase
TIGR03455	ATP phosphoribosyltransferase, C-terminal domain
TIGR03457	sulfoacetaldehyde acetyltransferase
TIGR03458	succinate CoA transferase
TIGR03461	aminodeoxychorismate lyase
TIGR03463	2,3-oxidosqualene cyclase
TIGR03464	squalene synthase HpnC
TIGR03465	squalene synthase HpnD
TIGR03494	salicylate synthase
TIGR03496	flagellar protein export ATPase FliI
TIGR03497	flagellar protein export ATPase FliI
TIGR03498	flagellar protein export ATPase FliI
TIGR03502	extracellular lipase, Pla-1/cef family
TIGR03528	diaminopropionate ammonia-lyase
TIGR03531	O-phosphoseryl-tRNA(Sec) selenium transferase
TIGR03532	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
TIGR03533	protein-(glutamine-N5) methyltransferase, ribosomal protein L3-specific
TIGR03534	protein-(glutamine-N5) methyltransferase, release factor-specific
TIGR03535	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03536	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase
TIGR03537	succinyldiaminopimelate transaminase
TIGR03538	succinyldiaminopimelate transaminase
TIGR03539	succinyldiaminopimelate transaminase
TIGR03540	LL-diaminopimelate aminotransferase
TIGR03542	LL-diaminopimelate aminotransferase
TIGR03547	mutatrotase, YjhT family
TIGR03550	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofG subunit
TIGR03551	7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase, CofH subunit
TIGR03552	2-phospho-L-lactate guanylyltransferase
TIGR03554	glucose-6-phosphate dehydrogenase (coenzyme-F420)
TIGR03555	5,10-methylenetetrahydromethanopterin reductase
TIGR03556	deoxyribodipyrimidine photo-lyase, 8-HDF type
TIGR03557	F420-dependent oxidoreductase, G6PDH family
TIGR03558	luciferase family oxidoreductase, group 1
TIGR03564	F420-dependent oxidoreductase, MSMEG_4879 family
TIGR03565	alkanesulfonate monooxygenase, FMNH(2)-dependent
TIGR03566	FMN reductase
TIGR03567	FMN reductase
TIGR03568	UDP-N-acetyl-D-glucosamine 2-epimerase, UDP-hydrolysing
TIGR03569	N-acetylneuraminate synthase
TIGR03571	luciferase-type oxidoreductase, BA3436 family
TIGR03573	N-acetyl sugar amidotransferase
TIGR03574	L-seryl-tRNA(Sec) kinase
TIGR03575	L-seryl-tRNA(Sec) kinase
TIGR03584	pseudaminic acid cytidylyltransferase
TIGR03585	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
TIGR03586	pseudaminic acid synthase
TIGR03588	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
TIGR03589	UDP-N-acetylglucosamine 4,6-dehydratase (inverting)
TIGR03590	UDP-2,4-diacetamido-2,4,6-trideoxy-beta-L-altropyranose hydrolase
TIGR03591	polyribonucleotide nucleotidyltransferase
TIGR03603	thiazole/oxazole-forming peptide maturase, SagC family component
TIGR03609	polysaccharide pyruvyl transferase CsaB
TIGR03615	pyrimidine utilization flavin reductase protein F
TIGR03617	probable F420-dependent oxidoreductase, MSMEG_2256 family
TIGR03619	probable F420-dependent oxidoreductase, Rv2161c family
TIGR03633	proteasome endopeptidase complex, archaeal, alpha subunit
TIGR03634	proteasome endopeptidase complex, archaeal, beta subunit
TIGR03639	CRISPR-associated endonuclease Cas1, subtype II/NMENI
TIGR03664	futalosine hydrolase
TIGR03666	PPOX class probable F420-dependent enzyme, Rv2061 family
TIGR03667	PPOX class probable F420-dependent enzyme, Rv3369 family
TIGR03671	CCA-adding enzyme
TIGR03674	flap structure-specific endonuclease
TIGR03683	alanine--tRNA ligase
TIGR03686	Pup--protein ligase
TIGR03688	proteasome accessory factor PafA2
TIGR03689	proteasome ATPase
TIGR03690	proteasome, beta subunit
TIGR03691	proteasome, alpha subunit
TIGR03692	ATP-dependent protease HslVU, peptidase subunit
TIGR03694	N-acyl amino acid synthase, PEP-CTERM/exosortase system-associated
TIGR03695	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
TIGR03698	clan AA aspartic protease, AF_0612 family
TIGR03702	lipid kinase YegS
TIGR03703	glycerol-3-phosphate O-acyltransferase
TIGR03704	putative protein-(glutamine-N5) methyltransferase, unknown substrate-specific
TIGR03705	polyphosphate kinase 1
TIGR03706	exopolyphosphatase
TIGR03707	polyphosphate kinase 2
TIGR03708	polyphosphate:AMP phosphotransferase
TIGR03709	polyphosphate:nucleotide phosphotransferase, PPK2 family
TIGR03724	Kae1-associated kinase Bud32
TIGR03753	beta-carotene 15,15'-monooxygenase, Brp/Blh family
TIGR03762	archaeosortase C
TIGR03763	cyanoexosortase A
TIGR03799	putative pyridoxal-dependent aspartate 1-decarboxylase
TIGR03800	pyridoxal 5'-phosphate synthase, glutaminase subunit Pdx2
TIGR03801	aspartate 4-decarboxylase
TIGR03811	tyrosine decarboxylase
TIGR03812	tyrosine decarboxylase MnfA
TIGR03814	glutaminase A
TIGR03820	lysine-2,3-aminomutase
TIGR03821	EF-P beta-lysylation protein EpmB
TIGR03822	lysine-2,3-aminomutase-related protein
TIGR03827	putative beta-lysine N-acetyltransferase
TIGR03828	1-phosphofructokinase
TIGR03832	tyrosine 2,3-aminomutase
TIGR03838	glutamyl-queuosine tRNA(Asp) synthetase
TIGR03840	thiopurine S-methyltransferase, Se/Te detoxification family
TIGR03841	probable F420-dependent oxidoreductase, Rv3093c family
TIGR03844	cysteate synthase
TIGR03845	sulfopyruvate decarboxylase, alpha subunit
TIGR03846	sulfopyruvate decarboxylase, beta subunit
TIGR03848	probable phosphomutase, MSMEG_4193 family
TIGR03849	phosphosulfolactate synthase
TIGR03852	sucrose phosphorylase
TIGR03855	aspartate dehydrogenase
TIGR03858	probable oxidoreductase, LLM family
TIGR03860	FMN-dependent oxidoreductase, nitrilotriacetate monooxygenase family
TIGR03867	MprA protease C-terminal rhombosortase-interaction domain
TIGR03882	bacteriocin biosynthesis cyclodehydratase domain
TIGR03885	probable non-F420 flavinoid oxidoreductase
TIGR03887	thiocyanate hydrolase, gamma subunit
TIGR03888	nitrile hydratase, beta subunit
TIGR03895	cyanobactin maturation protease, PatA/PatG family
TIGR03900	putative carboxyl-terminal-processing protease, deltaproteobacterial
TIGR03902	rhombosortase
TIGR03907	quinohemoprotein amine dehydrogenase, beta subunit
TIGR03908	quinohemoprotein amine dehydrogenase, alpha subunit
TIGR03912	pyrrolysine--tRNA ligase, N-terminal region
TIGR03921	type VII secretion-associated serine protease mycosin
TIGR03933	intercellular adhesin biosynthesis polysaccharide N-deacetylase
TIGR03935	fragilysin
TIGR03937	poly-beta-1,6 N-acetyl-D-glucosamine synthase
TIGR03938	poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB
TIGR03942	anaerobic sulfatase maturase
TIGR03946	arginine beta-hydroxylase, Fe(II)/alpha-ketoglutarate-dependent
TIGR03948	butyryl-CoA:acetate CoA-transferase
TIGR03950	siderophore ferric iron reductase, AHA_1954 family
TIGR03951	siderophore-iron reductase FhuF
TIGR03952	zinc-dependent metalloproteinase lipoprotein, BF0631 family
TIGR03966	heme/flavin dehydrogenase, mycofactocin system
TIGR03970	dehydrogenase, Rv0697 family
TIGR03971	SDR family mycofactocin-dependent oxidoreductase
TIGR03989	NDMA-dependent alcohol dehydrogenase, Rxyl_3153 family
TIGR03990	phosphoglucosamine mutase
TIGR03991	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR03992	UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase
TIGR03994	coproporphyrinogen dehydrogenase HemZ
TIGR03996	mycofactocin system FadH/OYE family oxidoreductase 1
TIGR03997	mycofactocin system FadH/OYE family oxidoreductase 2
TIGR03999	N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA
TIGR04000	bacillithiol biosynthesis deacetylase BshB2
TIGR04001	bacillithiol biosynthesis deacetylase BshB1
TIGR04003	[benzylsuccinate synthase]-activating enzyme
TIGR04005	colanic acid biosynthesis glycosyltransferase WcaL
TIGR04006	colanic acid biosynthesis pyruvyl transferase WcaK
TIGR04007	colanic acid biosynthesis glycosyltransferase WcaI
TIGR04008	colanic acid biosynthesis acetyltransferase WcaF
TIGR04009	colanic acid biosynthesis glycosyltransferase WcaE
TIGR04011	poly-gamma-glutamate biosynthesis protein PgsC
TIGR04012	poly-gamma-glutamate synthase PgsB
TIGR04015	colanic acid biosynthesis glycosyltransferase WcaC
TIGR04016	colanic acid biosynthesis acetyltransferase WcaB
TIGR04017	colanic acid biosynthesis glycosyltransferase WcaA
TIGR04018	putative bacillithiol system oxidoreductase, YpdA family
TIGR04020	natural product biosynthesis luciferase-like monooxygenase domain
TIGR04021	dimethyl sulfone monooxygenase SfnG
TIGR04022	sulfur acquisition oxidoreductase, SfnB family
TIGR04023	PPOX class F420-dependent enzyme, MSMEG_5819/OxyR family
TIGR04024	coenzyme F420-dependent oxidoreductase, NP1902A family
TIGR04025	pyridoxamine 5'-phosphate oxidase, FMN-binding family
TIGR04026	PPOX class probable FMN-dependent enzyme, alr4036 family
TIGR04027	putative FMN-dependent luciferase-like monooxygenase, KPN_01858 family
TIGR04036	putative luciferase-like monooxygenase, FMN-dependent, CE1758 family
TIGR04037	LLM-partnered FMN reductase, CE1759 family
TIGR04041	glycine radical enzyme activase, YjjW family
TIGR04048	putative nitrilase, sll0784 family
TIGR04055	putative heme d1 biosynthesis radical SAM protein NirJ2
TIGR04058	long-chain fatty acyl-ACP reductase (aldehyde-forming)
TIGR04059	long-chain fatty aldehyde decarbonylase
TIGR04063	PEP-CTERM/exosortase A-associated glycosyltransferase, Daro_2409 family
TIGR04070	spore photoproduct lyase
TIGR04074	3' terminal RNA ribose 2'-O-methyltransferase Hen1
TIGR04105	[FeFe] hydrogenase, group B1/B3
TIGR04109	heme oxygenase, HugZ family
TIGR04125	archaeosortase A
TIGR04130	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase
TIGR04132	putative folate metabolism gamma-glutamate ligase
TIGR04144	archaeosortase B
TIGR04146	phosphoglycerol geranylgeranyltransferase
TIGR04147	phosphoglycerol geranylgeranyltransferase, putative
TIGR04151	exosortase C, VPDSG-CTERM-specific
TIGR04152	exosortase D, VPLPA-CTERM-specific
TIGR04154	oligosaccharyl transferase, archaeosortase A system-associated
TIGR04156	cyanoexosortase B
TIGR04157	glycosyltransferase, GG-Bacteroidales peptide system
TIGR04158	3-methyl-2-indolic acid synthase
TIGR04162	exosortase E/protease, VPEID-CTERM system
TIGR04166	tetrahydromethanopterin S-methyltransferase, subunit B
TIGR04170	ribonucleoside-diphosphate reductase, class 1b, alpha subunit
